country,year,births_thousands,female_mortality_15_60,male_mortality_15_60,net_migration_rate,births
ubaharan frica,2022,39949.955000000002,264.788,335.962,-0.386,39949955
orthern frica and estern sia,2022,11522.254000000001,91.157,150.803,0.074,11522254
entral and outhern sia,2022,37757.082999999999,158.2,227.863,-0.609,37757083
astern and outhastern sia,2022,23521.501,71.487,127.284,-0.138,23521501
atin merica and the aribbean,2022,9625.6200000000008,105.329,195.222,-0.266,9625620
ceania excluding ustralia and ew ealand,2022,331.87099999999998,156.652,246.883,-0.769,331871
ustraliaew ealand,2022,364.34899999999999,43.104,71.572,4.89,364349
urope and orthern merica,2022,10917.966,74.734,157.149,1.819,10917966
andlocked eveloping ountries ,2022,17346.556,189.807,286.388,-0.055,17346556
mall sland eveloping tates ,2022,1263.6969999999999,113.98,186.051,-0.923,1263697
,2022,45839.088000000003,231.628,300.647,-0.379,45839088
astern frica,2022,15528.395,223.465,318.295,-0.624,15528395
urundi,2022,439.64800000000002,243.136,309.539,0.155,439648
omoros,2022,24.201000000000001,197.783,275.396,-2.387,24201
jibouti,2022,24.548999999999999,216.771,303.327,0.803,24549
ritrea,2022,104.98099999999999,180.807,244.289,-4.644,104981
thiopia,2022,3928.4450000000002,170.578,268.213,-0.097,3928445
enya,2022,1488.394,301.538,407.928,-0.185,1488394
adagascar,2022,906.13,189.181,261.605,-0.051,906130
alawi,2022,665.678,256.969,393.686,-0.294,665678
auritius,2022,13.266,98.032,190.48,0,13266
ayotte,2022,10.754,90.978,178.124,0,10754
ozambique,2022,1191.1469999999999,253.029,397.263,-0.152,1191147
union,2022,13.968999999999999,32.97,83.575,-0.647,13969
wanda,2022,406.214,183.685,263.376,-0.653,406214
eychelles,2022,1.611,109.645,221.889,-1.865,1611
omalia,2022,759.04399999999998,288.418,372.855,-1.703,759044
outh udan,2022,315.39,311.495,373.919,-2.808,315390
ganda,2022,1713.605,233.908,325.655,-2.512,1713605
nited epublic of anzania,2022,2346.8209999999999,185.269,245.878,-0.61,2346821
ambia,2022,683.35500000000002,242.378,359.558,-0.25,683355
imbabwe,2022,491.19499999999999,325.386,449.363,-0.612,491195
iddle frica,2022,7755.6270000000004,260.381,338.261,-0.188,7755627
ngola,2022,1359.723,222.861,323.663,-0.028,1359723
ameroon,2022,959.096,273.611,330.334,-0.172,959096
entral frican epublic,2022,236.643,372.802,465.188,-3.125,236643
had,2022,765.64800000000002,347.439,418.778,-0.113,765648
ongo,2022,180.17500000000001,263.389,311.581,-0.167,180175
emocratic epublic of the ongo,2022,4133.9870000000001,249.974,328.119,-0.151,4133987
quatorial uinea,2022,49.963999999999999,244.169,313.243,2.391,49964
abon,2022,64.022000000000006,193.488,287.564,0.419,64022.00000000001
ao ome and rincipe,2022,6.37,175.669,269.71,-2.635,6370
orthern frica,2022,5889.1329999999998,106.109,171.521,-0.348,5889133
lgeria,2022,923.64800000000002,63.708,91.602,-0.223,923648
gypt,2022,2453.9409999999998,114.676,199.952,-0.27,2453941
ibya,2022,117.846,124.549,191.749,-0.294,117846
orocco,2022,643.10900000000004,80.565,121.984,-1.067,643109
udan,2022,1548.473,171.315,249.215,-0.213,1548473
unisia,2022,192.75899999999999,74.869,143.233,-0.324,192759
estern ahara,2022,9.3559999999999999,119.572,166.245,9.77,9356
outhern frica,2022,1373.5360000000001,310.251,422.725,0.696,1373536
otswana,2022,60.554000000000002,202.615,296.6,1.141,60554
swatini,2022,28.475999999999999,354.554,561.016,-4.76,28476
esotho,2022,59.49,430.905,549.165,-1.733,59490
amibia,2022,69.156999999999996,348.105,521.268,-1.581,69157
outh frica,2022,1155.8579999999999,307.784,416.314,0.977,1155858
estern frica,2022,15292.397000000001,297.687,331.508,-0.386,15292397
enin,2022,481.71499999999997,246.828,301.966,-0.015,481715
urkina aso,2022,793.03099999999995,240.675,318.367,-1.102,793031
abo erde,2022,9.9079999999999995,71.117,194.151,-2.115,9908
te dvoire,2022,943.13300000000004,339.232,356.528,0.213,943133
ambia,2022,88.534999999999997,243.833,291.768,-1.108,88535
hana,2022,906.67700000000002,215.46,285.671,-0.299,906677
uinea,2022,469.31099999999998,262.302,302.55,-0.289,469311
uineaissau,2022,64.478999999999999,272.823,358.534,-0.665,64479
iberia,2022,164.452,263.251,301.95,-0.942,164452
ali,2022,932.31700000000001,248.278,305.841,-1.768,932317
auritania,2022,156.047,182.78,234.562,0.633,156047
iger,2022,1180.654,216.52,269.6,0.038,1180654
igeria,2022,8002.7579999999998,349.871,364.597,-0.274,8002758
aint elena,2022,0.04,53.536,103.936,0,40
enegal,2022,555.69600000000003,147.61,227.858,-1.154,555696
ierra eone,2022,265.02300000000002,226.235,262.899,-0.465,265023
ogo,2022,278.61799999999999,246.927,275.851,-0.226,278618
,2022,66911.705000000002,104.715,166.287,-0.31,66911705
entral sia,2022,1726.8530000000001,115.577,221.258,-0.701,1726853
azakhstan,2022,402.51100000000002,125.819,268.819,0,402511
yrgyzstan,2022,154.761,102.983,262.571,-1.507,154761
ajikistan,2022,259.27600000000001,113.005,175.422,-2.007,259276
urkmenistan,2022,133.49100000000001,114.228,230.124,-0.622,133491
zbekistan,2022,776.81500000000005,111.821,194.411,-0.578,776815
astern sia,2022,12503.194,52.207,101.345,-0.081,12503194
hina,2022,10757.794,53.888,104.068,-0.218,10757794
hina ong ong ,2022,41.923000000000002,27.912,56.721,2.674,41923
hina acao ,2022,6.9569999999999999,23.919,48.489,7.218,6957
hina aiwan rovince of hina,2022,186.24100000000001,47.428,115.938,1.005,186241
em eoples epublic of orea,2022,340.40699999999998,102.782,174.044,-0.077,340407
apan,2022,814.70500000000004,33.417,62.37,0.807,814705
ongolia,2022,69.480999999999995,94.758,246.789,-0.25,69481
epublic of orea,2022,285.68599999999998,21.661,57.323,0.579,285686
outhern sia,2022,36030.230000000003,159.842,228.094,-0.606,36030230
fghanistan,2022,1446.6990000000001,203.017,329.563,-1.6,1446699
angladesh,2022,2994.9659999999999,90.629,146.961,-1.809,2994966
hutan,2022,9.6479999999999997,108.65,150.61,0.383,9648
ndia,2022,23056.026999999998,176.792,242.879,-0.344,23056027
ran slamic epublic of,2022,1172.7090000000001,73.969,142.881,-0.452,1172709
aldives,2022,7.1970000000000001,39.552,52.446,-15.181,7197
epal,2022,616.65700000000004,134.04,187.801,-2.028,616657
akistan,2022,6424.9440000000004,142.105,215.259,-0.704,6424944
ri anka,2022,301.38299999999998,65.45,151.696,-3.543,301383
outhastern sia,2022,11018.307000000001,125.38,200.38,-0.276,11018307
runei arussalam,2022,6.0579999999999998,96.839,141.119,0,6058
ambodia,2022,318.33499999999998,135.442,214.495,-1.787,318335
ndonesia,2022,4462.2120000000004,169.934,232.302,-0.181,4462212
ao eoples emocratic epublic,2022,161.68199999999999,140.145,197.446,-1.327,161682
alaysia,2022,509.23200000000003,72.917,144.508,1.445,509232
yanmar,2022,912.25199999999995,146.481,249.438,-0.646,912252
hilippines,2022,2499.0810000000001,107.629,154.088,-0.606,2499081
ingapore,2022,42.332999999999998,30.666,55.418,4.528,42333
hailand,2022,631.23900000000003,69.796,170.13,0.265,631239
imoreste,2022,33.073999999999998,145.103,189.894,-3.72,33074
iet am,2022,1442.809,73.932,181.797,-0.842,1442809
estern sia,2022,5633.1210000000001,77.813,135.189,0.447,5633121
rmenia,2022,32.555999999999997,73.798,231.161,-1.797,32555.999999999996
zerbaijan,2022,123.673,84.492,167.136,0,123673
ahrain,2022,16.861000000000001,50.631,59.533,0,16861
yprus,2022,12.516999999999999,39.545,65.481,4.003,12517
eorgia,2022,49.106000000000002,85.587,253.884,-2.667,49106
raq,2022,1203.1880000000001,117.115,172.343,-0.135,1203188
srael,2022,174.67500000000001,34.411,67.211,1.107,174675
ordan,2022,245.48400000000001,79.84,125.826,-12.432,245484
uwait,2022,41.456000000000003,29.964,55.721,2.815,41456
ebanon,2022,81.179000000000002,87.799,132.863,-28.772,81179
man,2022,81.043000000000006,81.128,119.304,0,81043
atar,2022,24.497,34.776,42.922,0,24497
audi rabia,2022,615.69000000000005,76.466,95.414,0.797,615690
tate of alestine,2022,145.44900000000001,88.008,142.898,-0.952,145449
yrian rab epublic,2022,446.85899999999998,90.674,199.417,33.738,446859
rkiye,2022,1236.9000000000001,45.536,105.386,-3.528,1236900
nited rab mirates,2022,93.343000000000004,45.925,68.333,0,93343
emen,2022,1008.643,171.078,296.054,-0.89,1008643
,2022,6813.59,68.911,160.639,1.061,6813590
astern urope,2022,2678.1680000000001,106.578,278.179,0.357,2678168
elarus,2022,87.251999999999995,76.135,239.585,3.184,87252
ulgaria,2022,56.662999999999997,112.757,227.728,-0.708,56663
zechia,2022,101.55500000000001,55.729,115.903,2.1,101555
ungary,2022,91.370999999999995,88.872,178.146,63.779,91371
oland,2022,353.84,60.098,151.962,88.193,353840
epublic of oldova,2022,36.942999999999998,117.038,304.748,152.203,36943
omania,2022,191.76300000000001,73.597,173.164,47.752,191763
ussian ederation,2022,1375.808,120.966,327.951,6.534,1375808
lovakia,2022,53.356999999999999,72.714,163.407,78.261,53357
kraine,2022,329.61799999999999,132.553,343.714,-155.07,329618
orthern urope,2022,1077.79,47.64,80.844,2.393,1077790
enmark,2022,64.106999999999999,43.397,71.492,3.406,64107
stonia,2022,13.422000000000001,52.887,145.194,-0.754,13422
aroe slands,2022,0.80100000000000005,48.923,72.76,0,801
inland,2022,47.136000000000003,40.09,82.474,2.53,47136
uernsey,2022,0.622,34.479,48.151,1.581,622
celand,2022,4.5679999999999996,37.797,60.873,1.019,4568
reland,2022,57.561,38.584,63.549,1.993,57561
sle of an,2022,0.72399999999999998,52.221,82.065,4.03,724
ersey,2022,1.157,40.398,64.676,7.247,1157
atvia,2022,16.530999999999999,77.743,199.823,-4.564,16531
ithuania,2022,26.206,85.072,226.958,-5.509,26206
orway,2022,53.988,35.925,56.888,5.165,53988
weden,2022,114.08,34.617,55.012,3.799,114080
nited ingdom,2022,676.88699999999994,49.532,77.345,2.459,676887
outhern urope,2022,1146.942,37.973,73.748,0.591,1146942
lbania,2022,28.795000000000002,60.363,118.03,-2.81,28795
ndorra,2022,0.57499999999999996,28.694,46.754,2.505,575
osnia and erzegovina,2022,26.763999999999999,59.991,108.709,-0.155,26764
roatia,2022,33.923999999999999,41.98,98.538,-0.496,33924
ibraltar,2022,0.34499999999999997,41.399,65.868,-0.735,345
reece,2022,77.141000000000005,43.269,97.409,0.482,77141
taly,2022,407.303,32.778,56.249,0.991,407303
osovo under  res ,2022,18.396999999999998,50.617,88.98,-3.008,18397
alta,2022,4.8570000000000002,27.791,47.57,1.595,4857
ontenegro,2022,6.859,64.744,131.554,-0.765,6859
orth acedonia,2022,19.992000000000001,73.811,127.5,-0.478,19992
ortugal,2022,80.033000000000001,40.38,92.907,0.974,80033
an arino,2022,0.2,29.674,42.032,2.975,200
erbia,2022,66.557000000000002,69.17,145.39,-1.384,66557
lovenia,2022,18.835999999999999,32.279,69.998,0.944,18836
pain,2022,356.35899999999998,33.62,67.462,0.841,356359
estern urope,2022,1910.69,45.445,82.305,1.743,1910690
ustria,2022,84.394000000000005,39.282,72.169,2.24,84394
elgium,2022,117.003,46.169,74.995,2.061,117003
rance,2022,672.88,45.643,89.371,1.031,672880
ermany,2022,761.19399999999996,47.456,87.167,1.856,761194
iechtenstein,2022,0.36099999999999999,27.394,37.845,3.821,361
uxembourg,2022,6.6749999999999998,37.619,68.115,8.096,6675
onaco,2022,0.31900000000000001,18.464,28.959,5.499,319
etherlands,2022,181.387,44.344,58.749,1.709,181387
witzerland,2022,86.478999999999999,31.509,51.533,4.587,86479
    ,2022,9625.6200000000008,105.329,195.222,-0.266,9625620
aribbean,2022,678.60900000000004,109.521,188.493,-1.406,678609
nguilla,2022,0.15,50.892,135.779,0,150
ntigua and arbuda,2022,1.1240000000000001,60.727,104.913,0,1124
ruba,2022,0.76300000000000001,67.946,137.216,1.542,763
ahamas,2022,4.6589999999999998,120.957,219.573,2.442,4659
arbados,2022,3.0369999999999999,81.857,120.529,-0.284,3037
onaire int ustatius and aba,2022,0.28699999999999998,71.16,115.923,3.707,287
ritish irgin slands,2022,0.23799999999999999,56.023,109.081,6.409,238
ayman slands,2022,0.66900000000000004,96.011,139.003,5.839,669
uba,2022,99.692999999999998,71.766,125.079,-0.535,99693
uraao,2022,2.1829999999999998,59.051,135.232,2.697,2183
ominica,2022,0.96599999999999997,106.065,173.268,-0.55,966
ominican epublic,2022,203.625,99.21,182.338,-2.606,203625
renada,2022,1.96,91.726,158.459,-1.593,1960
uadeloupe,2022,4.5179999999999998,53.512,120.253,-2.019,4518
aiti,2022,268.52300000000002,189.498,291.572,-2.78,268523
amaica,2022,32.662999999999997,141.668,211.684,-3.883,32662.999999999996
artinique,2022,3.508,40.445,86.151,-1.767,3508
ontserrat,2022,0.04,75.398,118.433,0,40
uerto ico,2022,26.058,53.416,147.199,5.149,26058
aint arthlemy,2022,9.1999999999999998E-2,37.861,73.302,0,92
aint itts and evis,2022,0.56299999999999994,107.04,229.033,0.42,563
aint ucia,2022,2.0350000000000001,107.522,212.896,0,2035.0000000000002
aint artin rench part,2022,0.45800000000000002,38.191,73.953,0,458
aint incent and the renadines,2022,1.3240000000000001,167.534,256.369,-1.922,1324
int aarten utch part,2022,0.36,79.494,130.994,0,360
rinidad and obago,2022,17.428999999999998,107.204,190.175,-0.522,17429
urks and aicos slands,2022,0.56000000000000005,77.332,133.891,4.386,560
nited tates irgin slands,2022,1.1180000000000001,55.91,190.398,-4.514,1118
entral merica,2022,2840.1439999999998,102.246,201.627,-0.473,2840144
elize,2022,7.1929999999999996,144.538,261.877,1.481,7193
osta ica,2022,60.517000000000003,65.167,130.016,0.743,60517
l alvador,2022,100.313,122.386,290.111,-3.662,100313
uatemala,2022,372.33499999999998,173.23,280.029,-0.511,372335
onduras,2022,217.59,135.295,198.67,-0.515,217590
exico,2022,1866.3989999999999,94.594,196.939,-0.403,1866399
icaragua,2022,139.16399999999999,91.63,180.183,-1.151,139164
anama,2022,76.637,82.182,154.067,1.809,76637
outh merica,2022,6106.8670000000002,106.182,193.403,-0.065,6106867
rgentina,2022,627.74099999999999,84.787,142.424,0.085,627741
olivia lurinational tate of,2022,264.07,190.222,302.057,-0.245,264070
razil,2022,2723.2660000000001,109.601,203.038,0.03,2723266
hile,2022,230.82400000000001,64.749,117.232,-3.404,230824
olombia,2022,723.26400000000001,101.507,195.552,-3.232,723264
cuador,2022,298.666,75.706,132,-1.122,298666
alkland slands alvinas,2022,4.2000000000000003E-2,51.061,74.28,0,42
rench uiana,2022,7.5730000000000004,57.933,113.61,3.947,7573
uyana,2022,16.129000000000001,203.313,331.25,-4.811,16129.000000000002
araguay,2022,137.96,137.421,231.526,-1.842,137960
eru,2022,592.15599999999995,124.403,187.203,-1.78,592156
uriname,2022,11.122999999999999,152.987,247.547,-1.617,11123
ruguay,2022,35.667999999999999,75.814,140.742,-0.438,35668
enezuela olivarian epublic of,2022,438.38400000000001,110.413,242.597,10.576,438384
 ,2022,4104.3760000000002,86.496,148.002,3.314,4104376
ermuda,2022,0.48199999999999998,49.05,93.774,0,482
anada,2022,376.18799999999999,46.829,76.109,6.485,376188
reenland,2022,0.79600000000000004,122.899,194.039,-1.77,796
aint ierre and iquelon,2022,4.3999999999999997E-2,43.226,122.763,0,44
nited tates of merica,2022,3726.8670000000002,91.048,156.092,2.956,3726867
,2022,696.22,72.967,120.691,3.168,696220
ustraliaew ealand,2022,364.34899999999999,43.104,71.572,4.89,364349
ustralia,2022,300.24599999999998,41.836,70.853,5.362,300246
ew ealand,2022,64.102999999999994,49.27,75.041,2.51,64102.99999999999
elanesia,2022,307.363,163.929,257.272,-0.439,307363
iji,2022,17.821000000000002,176.54,240.041,-3.818,17821
ew aledonia,2022,4.0949999999999998,48.788,109.649,1.726,4094.9999999999995
apua ew uinea,2022,254.71799999999999,168.941,269.868,-0.079,254718
olomon slands,2022,21.262,140.567,182.723,-2.206,21262
anuatu,2022,9.4659999999999993,133.745,198.814,0,9466
icronesia,2022,10.683999999999999,126.103,202.905,-3.042,10684
uam,2022,2.8170000000000002,84.415,171.278,-2.906,2817
iribati,2022,3.512,159.951,209.479,-3.043,3512
arshall slands,2022,0.77,237.362,291.677,0,770
icronesia ed tates of,2022,2.3679999999999999,104.976,217.387,-5.241,2368
auru,2022,0.34100000000000003,240.696,394.796,-10.986,341
orthern ariana slands,2022,0.60399999999999998,70.965,99.541,-1.009,604
alau,2022,0.27,223.343,359.714,-1.107,270
olynesia,2022,13.824,75.403,122.285,-4.728,13824
merican amoa,2022,0.76500000000000001,103.593,173.906,-18.13,765
ook slands,2022,0.27500000000000002,83.946,190.724,-5.862,275
rench olynesia,2022,3.8439999999999999,28.126,47.312,-0.326,3844
iue,2022,2.7E-2,137.961,171.447,0,27
amoa,2022,6.024,107.452,172.458,-6.722,6024
okelau,2022,3.5000000000000003E-2,130.308,130.622,0,35
onga,2022,2.456,151.131,227.862,-7.458,2456
uvalu,2022,0.26500000000000001,209.364,374.681,-5.288,265
allis and utuna slands,2022,0.13500000000000001,62.191,66.538,-11.68,135
